,housing_units,latt,long,median_house_value,population
10001,12476.0,40.75,-73.99,650200.0,21102.0
10002,34541.0,40.72,-73.99,535600.0,81410.0
10003,31078.0,40.73,-73.99,817700.0,56024.0
10004,2197.0,40.7,-74.02,894200.0,3089.0
10005,5317.0,40.705,-74.005,1000001.0,7135.0
10006,1991.0,40.708,-74.013,714300.0,3011.0
10007,3143.0,40.714,-74.008,1000001.0,6988.0
10009,31709.0,40.73,-73.98,672800.0,61347.0
10010,18030.0,40.73,-73.98,746200.0,31834.0
10011,33252.0,40.74,-74.0,914500.0,50984.0
10012,14633.0,40.726,-73.998,1000001.0,24090.0
10013,13460.0,40.72,-74.01,1000001.0,27700.0
10014,21689.0,40.74,-74.01,947300.0,31959.0
10016,35617.0,40.74,-73.97,759600.0,54183.0
10017,12875.0,40.75,-73.973,637100.0,16575.0
10018,4425.0,40.76,-73.99,1000001.0,5229.0
10019,31404.0,40.77,-73.99,808600.0,42870.0
10020,0.0,40.759,-73.981,,0.0
10021,28628.0,40.77,-73.96,1000001.0,43631.0
10022,23485.0,40.76,-73.97,866100.0,31924.0
10023,39402.0,40.78,-73.98,872500.0,60998.0
10024,33952.0,40.81,-73.97,1000001.0,59283.0
10025,47617.0,40.8,-73.97,934600.0,94600.0
10026,15823.0,40.801,-73.953,602400.0,34003.0
10027,25071.0,40.81,-73.96,716100.0,59707.0
10028,28139.0,40.78,-73.95,1000001.0,45141.0
10029,31121.0,40.79,-73.95,787000.0,76003.0
10030,12976.0,40.818,-73.943,509000.0,26999.0
10031,22604.0,40.83,-73.95,369800.0,56438.0
10032,21417.0,40.84,-73.94,334900.0,57331.0
10033,20116.0,40.84,-73.94,422100.0,53926.0
10034,15671.0,40.86,-73.93,354700.0,38908.0
10035,13935.0,40.8,-73.93,445900.0,33969.0
10036,17958.0,40.76,-73.99,810300.0,24711.0
10037,9451.0,40.814,-73.937,260200.0,17416.0
10038,10211.0,40.71,-74.003,616300.0,20300.0
10039,10868.0,40.83,-73.94,352300.0,24527.0
10040,16506.0,40.86,-73.93,317300.0,41905.0
10044,4913.0,40.77,-73.95,580400.0,11661.0
10065,22754.0,40.765,-73.965,1000001.0,32270.0
10069,3146.0,40.778,-73.988,966600.0,5199.0
10075,16493.0,40.77,-73.96,805300.0,26121.0
10103,0.0,40.761,-73.978,,3.0
10110,0.0,40.7539,-73.9807,,0.0
10111,0.0,40.7591,-73.9776,,0.0
10112,0.0,40.759,-73.98,,0.0
10115,0.0,40.8108,-73.9637,,0.0
10119,0.0,40.751,-73.992,,92.0
10128,35240.0,40.78,-73.95,1000001.0,60453.0
10152,0.0,40.7584,-73.9718,,0.0
10153,0.0,40.7639,-73.9733,,0.0
10154,0.0,40.758,-73.972,,0.0
10162,824.0,40.791,-73.966,,1685.0
10165,2.0,40.791,-73.966,,2.0
10167,0.0,40.755,-73.975,,0.0
10168,0.0,40.791,-73.966,,0.0
10169,0.0,40.791,-73.966,,0.0
10170,0.0,40.791,-73.966,,2.0
10171,0.0,40.756,-73.974,,0.0
10172,0.0,40.791,-73.966,,0.0
10173,0.0,40.791,-73.966,,2.0
10174,0.0,40.791,-73.966,,0.0
10177,0.0,40.791,-73.966,,0.0
10199,1.0,40.7522,-73.9965,,9.0
10271,0.0,40.7082,-74.0104,,0.0
10278,0.0,40.715,-74.004,,0.0
10279,0.0,40.791,-73.966,,0.0
10280,4962.0,40.707,-74.017,685700.0,7853.0
10282,2484.0,40.716,-74.015,1000001.0,4783.0
10301,16261.0,40.63,-74.1,402300.0,39706.0
10302,6427.0,40.63,-74.11,382000.0,19088.0
10303,8811.0,40.63,-74.16,325100.0,26337.0
10304,15467.0,40.61,-74.09,403700.0,42193.0
10305,16187.0,40.61,-74.08,415300.0,41749.0
10306,22017.0,40.57,-74.13,450200.0,55909.0
10307,5354.0,40.51,-74.24,567400.0,14096.0
10308,10715.0,40.55,-74.14,452600.0,27357.0
10309,11686.0,40.54,-74.22,539100.0,32519.0
10310,9043.0,40.63,-74.12,414600.0,24962.0
10311,0.0,40.605,-74.18,,0.0
10312,22155.0,40.55,-74.18,467300.0,59304.0
10314,32533.0,40.6,-74.15,437500.0,85510.0
10451,17779.0,40.82,-73.92,170600.0,45713.0
10452,25866.0,40.84,-73.92,402800.0,75371.0
10453,27018.0,40.85,-73.91,445200.0,78309.0
10454,12772.0,40.81,-73.92,386000.0,37337.0
10455,13851.0,40.81,-73.91,318600.0,39665.0
10456,29651.0,40.83,-73.91,388600.0,86547.0
10457,24364.0,40.85,-73.9,397500.0,70496.0
10458,27806.0,40.86,-73.89,330300.0,79492.0
10459,16496.0,40.83,-73.89,343900.0,47308.0
10460,20706.0,40.84,-73.88,391700.0,57311.0
10461,21127.0,40.84,-73.84,454700.0,50502.0
10462,31331.0,40.84,-73.85,271300.0,75784.0
10463,30368.0,40.89,-73.91,289700.0,67970.0
10464,2272.0,40.86,-73.79,484000.0,4534.0
10465,16889.0,40.83,-73.82,437800.0,42230.0
10466,24854.0,40.89,-73.84,391300.0,67813.0
10467,37432.0,40.88,-73.87,369500.0,97060.0
10468,26178.0,40.87,-73.9,171200.0,76103.0
10469,24078.0,40.87,-73.85,427100.0,66631.0
10470,6882.0,40.9,-73.86,401200.0,15293.0
10471,10054.0,40.9,-73.9,360800.0,22922.0
10472,23386.0,40.83,-73.86,429600.0,66358.0
10473,21323.0,40.82,-73.86,386600.0,58519.0
10474,3985.0,40.81,-73.89,351800.0,12281.0
10475,18911.0,40.87,-73.83,76000.0,40931.0
10501,395.0,41.3,-73.76,680900.0,1219.0
10502,1973.0,41.01,-73.84,649900.0,5487.0
10503,84.0,41.04,-73.86,579300.0,108.0
10504,2735.0,41.13,-73.69,1000001.0,7987.0
10505,233.0,41.341,-73.744,696400.0,851.0
10506,2139.0,41.19,-73.63,945800.0,5790.0
10507,2209.0,41.23,-73.69,586200.0,6408.0
10509,7457.0,41.42,-73.6,367700.0,19507.0
10510,3562.0,41.14,-73.83,682800.0,9988.0
10511,943.0,41.26,-73.95,367200.0,2246.0
10512,10241.0,41.4,-73.7,339600.0,25590.0
10514,4033.0,41.18,-73.77,912700.0,11946.0
10516,2412.0,41.45,-73.91,445300.0,5289.0
10517,224.0,41.297,-73.864,402700.0,539.0
10518,466.0,41.27,-73.6,668200.0,1268.0
10519,133.0,41.348,-73.663,357600.0,316.0
10520,5540.0,41.21,-73.87,482100.0,12810.0
10522,4191.0,41.01,-73.87,598400.0,10875.0
10523,2676.0,41.05,-73.82,424200.0,7444.0
10524,1771.0,41.37,-73.93,550400.0,4421.0
10526,729.0,41.29,-73.66,496800.0,1809.0
10527,297.0,41.32,-73.76,629200.0,908.0
10528,4885.0,40.98,-73.72,674100.0,12280.0
10530,6169.0,41.02,-73.8,413100.0,12604.0
10532,1743.0,41.09,-73.8,529800.0,4931.0
10533,2924.0,41.04,-73.86,648800.0,7322.0
10535,239.0,41.34,-73.8,450900.0,555.0
10536,3776.0,41.27,-73.69,731800.0,10739.0
10537,1043.0,41.34,-73.88,301600.0,2416.0
10538,6477.0,40.93,-73.76,928000.0,16597.0
10541,9425.0,41.38,-73.75,399100.0,26339.0
10543,7971.0,40.95,-73.73,598000.0,20135.0
10545,1.0,41.19,-73.84,,141.0
10546,476.0,41.2,-73.8,646200.0,1277.0
10547,2851.0,41.31,-73.85,322600.0,7647.0
10548,1190.0,41.25,-73.94,354100.0,3487.0
10549,6305.0,41.2,-73.72,560500.0,16638.0
10550,15563.0,40.91,-73.83,385000.0,37144.0
10552,9509.0,40.92,-73.83,381800.0,19786.0
10553,3812.0,40.91,-73.82,412300.0,10170.0
10560,1905.0,41.33,-73.61,593200.0,4737.0
10562,11349.0,41.19,-73.82,442100.0,31796.0
10566,9705.0,41.29,-73.92,320500.0,23570.0
10567,6907.0,41.28,-73.91,413800.0,19929.0
10570,4357.0,41.13,-73.79,641500.0,12680.0
10573,13662.0,41.02,-73.68,512100.0,38352.0
10576,2118.0,41.21,-73.57,886400.0,5116.0
10577,855.0,41.04,-73.71,1000001.0,6552.0
10578,252.0,41.31,-73.67,456400.0,681.0
10579,3551.0,41.4,-73.83,377200.0,8675.0
10580,6475.0,40.98,-73.69,1000001.0,17208.0
10583,14301.0,40.99,-73.79,834300.0,38982.0
10588,867.0,41.33,-73.83,346300.0,2282.0
10589,3972.0,41.33,-73.69,457200.0,8475.0
10590,2683.0,41.25,-73.54,620000.0,6767.0
10591,9047.0,41.08,-73.84,543400.0,22540.0
10594,1694.0,41.12,-73.77,609400.0,5117.0
10595,2420.0,41.09,-73.77,606600.0,8195.0
10596,724.0,41.252,-73.958,292800.0,1729.0
10597,395.0,41.3,-73.6,951000.0,968.0
10598,10644.0,41.29,-73.79,437900.0,28647.0
10601,6127.0,41.03,-73.76,316900.0,11376.0
10603,7070.0,41.06,-73.77,426900.0,17045.0
10604,4252.0,41.05,-73.73,666000.0,11250.0
10605,7508.0,41.01,-73.74,608800.0,18126.0
10606,6125.0,41.02,-73.78,512700.0,16499.0
10607,2374.0,41.04,-73.81,543400.0,6824.0
10701,25511.0,40.95,-73.88,370900.0,63393.0
10703,8007.0,40.96,-73.88,367200.0,20301.0
10704,13292.0,40.92,-73.86,409200.0,30165.0
10705,14554.0,40.92,-73.89,420600.0,38777.0
10706,3621.0,40.99,-73.86,660700.0,8679.0
10707,4356.0,40.96,-73.82,574400.0,10097.0
10708,9667.0,40.94,-73.83,466900.0,21225.0
10709,3781.0,40.96,-73.81,580500.0,9292.0
10710,10464.0,40.97,-73.85,433900.0,25120.0
10801,15154.0,40.91,-73.78,464700.0,40827.0
10803,4498.0,40.9,-73.81,690900.0,12435.0
10804,5183.0,40.95,-73.79,689100.0,14146.0
10805,7975.0,40.89,-73.78,346500.0,18414.0
10901,9391.0,41.14,-74.12,416100.0,23465.0
10910,17.0,41.24,-74.13,,21.0
10911,2.0,41.25,-74.09,,2.0
10913,1635.0,41.07,-73.96,491000.0,5532.0
10914,155.0,41.43,-74.17,366700.0,414.0
10915,47.0,41.6,-74.3,,119.0
10916,1500.0,41.44,-74.26,358300.0,4540.0
10917,709.0,41.32,-74.12,323500.0,1968.0
10918,4254.0,41.35,-74.26,306600.0,11647.0
10919,380.0,41.52,-74.38,291400.0,1040.0
10920,3012.0,41.15,-73.94,435500.0,8554.0
10921,1545.0,41.33,-74.37,282500.0,4135.0
10922,710.0,41.335,-73.982,245200.0,1559.0
10923,3081.0,41.2,-74.0,360300.0,8732.0
10924,4819.0,41.4,-74.4,332100.0,13120.0
10925,2393.0,41.2,-74.31,276000.0,4539.0
10926,1305.0,41.3,-74.15,261600.0,3203.0
10927,3598.0,41.19,-73.96,299500.0,11910.0
10928,1934.0,41.34,-74.05,240500.0,4175.0
10930,3091.0,41.36,-74.09,332600.0,8958.0
10931,381.0,41.128,-74.169,338200.0,1023.0
10932,27.0,41.483,-74.468,,60.0
10933,158.0,41.39,-74.47,345600.0,473.0
10940,18800.0,41.4,-74.5,225800.0,48418.0
10941,5131.0,41.49,-74.35,259700.0,13779.0
10950,14106.0,41.3,-74.2,322500.0,47226.0
10952,9697.0,41.12,-74.09,493400.0,38917.0
10953,116.0,41.4048,-74.0805,366000.0,252.0
10954,8809.0,41.1,-74.01,421400.0,23045.0
10956,10600.0,41.15,-73.99,492200.0,31521.0
10958,1112.0,41.37,-74.44,285900.0,3291.0
10960,6638.0,41.08,-73.93,483700.0,15093.0
10962,1879.0,41.04,-73.96,491200.0,5950.0
10963,969.0,41.46,-74.55,260100.0,4298.0
10964,601.0,41.02,-73.92,494800.0,1472.0
10965,5599.0,41.06,-74.02,441400.0,14791.0
10968,1265.0,41.04,-73.91,641300.0,2353.0
10969,501.0,41.29,-74.49,317800.0,1267.0
10970,3918.0,41.17,-74.1,341800.0,9993.0
10973,786.0,41.39,-74.48,275500.0,2126.0
10974,1141.0,41.15,-74.2,345200.0,3152.0
10975,173.0,41.25,-74.14,267700.0,281.0
10976,642.0,41.03,-73.93,579700.0,2258.0
10977,15891.0,41.12,-74.05,395200.0,59048.0
10979,144.0,41.21,-74.31,283700.0,234.0
10980,4973.0,41.26,-74.04,388700.0,13383.0
10983,1967.0,41.03,-73.95,456500.0,5532.0
